effect_size_id,study_id,reference,es,weight,sample_size,se,var,ci_lo,ci_hi,higher_group_n,lower_group_n,cognitive_level,stimuli,response,subgroup,age_group,design,year,effect_size_type,rob_1_participants,rob_2_confounding,rob_3_measurment,rob_4_blinding,rob_5_incomplete,rob_6_selective
12,2,Araújo et al. (2005),-0.39736298118524344,5.61995892909375,23,0.42182608196290017,0.17793724342417136,-1.2241269095721685,0.4294009472016816,11,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
13,2,Araújo et al. (2005),0.8544438231861633,5.46500745078502,24,0.42776438278545426,0.18298236717982064,0.016041039057667628,1.6928466073146589,12,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
14,2,Araújo et al. (2005),-0.10169790336523109,5.7311700919705375,23,0.4177133458422105,0.17448443929469415,-0.9204010170776874,0.7170052103472252,12,11,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
15,2,Araújo et al. (2005),0.6590737815162284,5.422789570256081,23,0.4294262850584362,0.18440693429908933,-0.18258627121313709,1.5007338342455938,11,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
16,2,Araújo et al. (2005),0.8911733932430077,5.422545735006215,24,0.4294359399413589,0.18441522651331843,0.0494944172908387,1.7328523691951767,12,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
17,2,Araújo et al. (2005),0.6305483340073663,5.448222177202644,23,0.42842281962860407,0.18354611237852342,-0.2091449626197972,1.4702416306345298,12,11,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
18,2,Araújo et al. (2005),0.19429396961296344,5.710181470692448,23,0.4184803254665798,0.1751257828026146,-0.6259123965401329,1.0145003357660598,11,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
19,2,Araújo et al. (2005),0.6847816711692691,5.645053988061325,24,0.42088742474445706,0.177146224308021,-0.14014252287567885,1.509705865214217,12,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
20,2,Araújo et al. (2005),0.4938642549702418,5.557106547204802,23,0.4242048584068348,0.1799497618959628,-0.33756198957406747,1.325290499514551,12,11,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
21,2,Araújo et al. (2005),0.33671495866085405,5.653056311699204,23,0.42058942044485015,0.17689546059013492,-0.4876251576896264,1.1610550750113344,11,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
22,2,Araújo et al. (2005),0.3823784901319648,5.884629186331767,24,0.41223081151322616,0.169934241960853,-0.4255790537516777,1.1903360340156073,12,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
23,2,Araújo et al. (2005),-0.5719131136119013,5.497639495004477,23,0.42649296423981653,0.18189624854606543,-1.4078239631816707,0.263997735957868,12,11,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
24,2,Araújo et al. (2005),0.8497660620900817,5.231775021101023,23,0.4371952854099778,0.19113971758471196,-0.00712095152418446,1.7066530757043479,11,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
25,3,Bahia Loureiro & Barbosa de Freitas (2012),1.0727969348659006,5.197860962566845,24,0.43861923267877817,0.19238683127572015,0.21311903588890158,1.9324748338428996,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
26,3,Bahia Loureiro & Barbosa de Freitas (2012),1.0358791273276948,5.24529378208785,24,0.43663152750370987,0.19064709081022294,0.1800970589057136,1.891661195749676,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
27,3,Bahia Loureiro & Barbosa de Freitas (2012),1.0647873670128993,5.208219178082192,24,0.4381828480342596,0.19200420831141504,0.2059647662225631,1.9236099678032357,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
28,3,Bahia Loureiro & Barbosa de Freitas (2012),1.1106993303027686,5.148367029548989,24,0.4407225272900161,0.19423634606089898,0.2468990496388661,1.974499610966671,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
29,3,Bahia Loureiro & Barbosa de Freitas (2012),0.3877804396696882,5.8814113034955895,24,0.4123435675331206,0.17002721768594123,-0.42039810195198757,1.195958981291364,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
30,3,Bahia Loureiro & Barbosa de Freitas (2012),0.5816706595045323,5.7396086558004225,24,0.41740616485628773,0.17422790646003444,-0.2364303905387799,1.3997717095478446,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
31,3,Bahia Loureiro & Barbosa de Freitas (2012),0.4479856646880913,5.842769451282211,24,0.41370486213850255,0.1711517129570374,-0.3628609653324817,1.2588322947086643,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
32,3,Bahia Loureiro & Barbosa de Freitas (2012),0.3375851868224455,5.909692956050572,24,0.4113557206753728,0.16921352893235533,-0.4686572105358035,1.1438275841806944,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
33,3,Bahia Loureiro & Barbosa de Freitas (2012),-0.3278531635033543,5.914751797930188,24,0.41117976834711045,0.1690688018979834,-1.1337507006352132,0.47804437362850455,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
34,3,Bahia Loureiro & Barbosa de Freitas (2012),-0,6,24,0.408248290463863,0.16666666666666666,-0.8001519460592181,0.8001519460592181,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
35,3,Bahia Loureiro & Barbosa de Freitas (2012),-0.6422525154019553,5.685534591194969,24,0.4193864038714326,0.17588495575221239,-1.4642347625957326,0.17972973179182195,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
36,3,Bahia Loureiro & Barbosa de Freitas (2012),-0.2091059705358257,5.9650268127768715,24,0.4094433292898267,0.16764383989993745,-1.0116001496540596,0.5933882085824083,12,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
45,5,Bennet et al. (2020),0.25187524378080206,17.651101816834647,75,0.2380203502635648,0.05665368713959008,-0.2146360703233936,0.7183865578849977,29,46,Decision-making skills,Specific,General,Decision-making skills mixed,Late childhood,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
46,5,Bennet et al. (2020),-0.4924853210342862,17.279305556397052,75,0.24056744613811162,0.05787269614141324,-0.9639888513177641,-0.02098179075080825,29,46,Decision-making skills,Specific,General,Decision-making skills mixed,Late childhood,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
47,5,Bennet et al. (2020),-0.10426754719493445,14.912623236039364,60,0.25895421067676383,0.06705728322722579,-0.611808473766389,0.4032733793765201,28,32,Decision-making skills,Specific,General,Decision-making skills mixed,Adolescence,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
48,5,Bennet et al. (2020),-0.24675324675324697,14.8180815876516,60,0.25977898115055237,0.06748511904761904,-0.755910693748839,0.2624042002423451,28,32,Decision-making skills,Specific,General,Decision-making skills mixed,Adolescence,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
49,6,Boschker et al. (2002),4.779460712071699,0.4863421405176589,9,1.433933625676162,2.056165642844783,1.9690024495254828,7.589918974617914,5,4,Basic cognitive functions,Specific,General,Basic cognitive functions mixed,Adulthood,Cross-sectional,2002,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
50,6,Boschker et al. (2002),-3.07408222775592,0.8973021314651958,9,1.055676004862536,1.1144518272425252,-5.1431691766296215,-1.0049952788822192,5,4,Basic cognitive functions,Specific,General,Basic cognitive functions mixed,Adulthood,Cross-sectional,2002,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
51,6,Boschker et al. (2002),0.6665793721050284,2.077957412176365,9,0.6937159481161231,0.48124181667065163,-0.6930789017036294,2.026237645913686,5,4,Basic cognitive functions,Specific,General,Basic cognitive functions mixed,Adulthood,Cross-sectional,2002,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
52,6,Boschker et al. (2002),1.3730821194481424,1.7165496311157955,9,0.7632587954001795,0.582563988755733,-0.12287763041963484,2.86904186931592,5,4,Basic cognitive functions,Specific,General,Basic cognitive functions mixed,Adulthood,Cross-sectional,2002,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
53,7,Bruce et al. (2012),0.8839235332486586,8.621506468512777,38,0.340571593062308,0.1159890100009983,0.21641547668910377,1.5514315898082134,19,19,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
55,9,Chen et al. (2020),0.4746790939896338,8.2283288671134,34,0.34861348263333597,0.12153136027374323,-0.20859077649678415,1.1579489644760517,18,16,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
56,9,Chen et al. (2020),0.6017333634953191,8.087927280161548,34,0.35162632452893744,0.12364107210172963,-0.08744156859759111,1.2909082955882294,18,16,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
57,9,Chen et al. (2020),1.069971473812713,7.368332552426629,34,0.36839641117028926,0.13571591576314884,0.347927775885137,1.7920151717402892,18,16,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
58,9,Chen et al. (2020),0.6451894924591852,8.033615497074798,34,0.35281291877941673,0.1244769556576513,-0.0463111216289267,1.3366901065472971,18,16,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2020,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
59,10,Chung & Ng (2012),-3.024142872542662,4.566220754142696,40,0.4679738095361391,0.2189994864117666,-3.9413546849415013,-2.1069310601438227,20,20,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
60,10,Chung & Ng (2012),-0.8464021073726452,9.147316866918008,40,0.3306382839598618,0.1093216748199222,-1.4944412358441017,-0.1983629789011888,20,20,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
61,10,Chung & Ng (2012),0.28512522582477684,9.895325273224298,40,0.31789592631769337,0.10105781996938434,-0.3379393405899007,0.9081897922394544,20,20,Basic cognitive functions,Specific,General,Basic cognitive functions mixed,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
62,10,Chung & Ng (2012),-2.943708329597389,4.700275209474075,40,0.46125209985597354,0.212753499621545,-3.8477458331085694,-2.0396708260862084,20,20,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
63,10,Chung & Ng (2012),-1.4774854865023401,7.787889946867272,40,0.35833571587862995,0.12840448527425022,-2.179810583998832,-0.775160389005848,20,20,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
64,10,Chung & Ng (2012),0.11277592579747713,9.9834782838563,40,0.31648932143166564,0.10016549058027617,-0.5075317457001081,0.7330835972950622,20,20,Basic cognitive functions,Specific,Specific,Basic cognitive functions specific,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
65,12,Correia et al. (2012),0.29358337106570187,6.781215190806331,28,0.3840132741905623,0.147466194754556,-0.4590688159331048,1.0462355580645086,12,16,Decision-making skills,Specific,Specific,Decision-making skills specific,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
66,12,Correia et al. (2012),0.7556266059360763,4.780217836969017,21,0.4573789318943507,0.20919548734081708,-0.14081962786424906,1.6520728397364017,12,9,Decision-making skills,Specific,Specific,Decision-making skills specific,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
67,12,Correia et al. (2012),0.45523343201544825,5.6166120536284945,25,0.4219517439362284,0.17804327421082447,-0.37177678931342645,1.2822436533443229,16,9,Decision-making skills,Specific,Specific,Decision-making skills specific,Adulthood,Cross-sectional,2012,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
74,13,de Joode et al. (2021),1.3905974175466749,2.433385427902306,13,0.6410539027187692,0.4109501061909652,0.1341548560690442,2.6470399790243055,5,8,Decision-making skills,Specific,Specific,Decision-making skills specific,Late childhood,Cross-sectional,2021,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
82,15.1,Didierjean & Marmèche (2005) Study 1,-1.0179753522964974,9.254654639563809,42,0.32871527954521496,0.10805373500648882,-1.6622454613731343,-0.3737052432198603,21,21,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
83,15.1,Didierjean & Marmèche (2005) Study 1,0.3373648336421692,10.347077153517981,42,0.310878835368523,0.09664565028008923,-0.27194648723589254,0.9466761545202309,21,21,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
84,15.1,Didierjean & Marmèche (2005) Study 1,-0.5932858242647974,10.04105327060252,42,0.3155806486055368,0.0995911457742913,-1.2118125297494398,0.025240881219845024,21,21,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
85,15.1,Didierjean & Marmèche (2005) Study 1,-0.07530256866029929,10.492274185478411,42,0.30872029776505316,0.09530822225214308,-0.6803832335762847,0.5297780962556862,21,21,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
86,15.2,Didierjean & Marmèche (2005) Study 2,0,7,28,0.3779644730092272,0.14285714285714285,-0.7407967545337465,0.7407967545337465,14,14,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
87,15.2,Didierjean & Marmèche (2005) Study 2,1.0127042814695748,6.161953407250531,28,0.4028476132567897,0.16228619950669199,0.2231374682283468,1.802271094710803,14,14,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
88,15.2,Didierjean & Marmèche (2005) Study 2,-0.010524106571178717,6.999897187339356,28,0.37796724872073917,0.1428592411055251,-0.7513263013995202,0.7302780882571627,14,14,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
89,15.2,Didierjean & Marmèche (2005) Study 2,-0.09708737864077693,6.991260923845195,28,0.3782006270297741,0.14303571428571427,-0.8383469865495996,0.6441722292680458,14,14,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
90,16,Duncan et al. (2018),0.3536436970184332,5.644330346397504,23,0.42091440419961085,0.17716893566271338,-0.47133337578693874,1.1786207698238051,11,12,Higher cognitive functions,General,General,Higher cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
91,16,Duncan et al. (2018),0.1663118380773943,5.7178908188417115,23,0.4181981148734023,0.17488966328366737,-0.6533414054770184,0.98596508163180685,11,12,Basic cognitive functions,General,General,Basic cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
92,17,Elferink-Gemser et al. (2018),0.30996043553815933,14.817338505650193,60,0.2597854949608782,0.06748850339206848,-0.19920977829107356,0.8191306493673922,30,30,Higher cognitive functions,General,General,Higher cognitive functions general,Adolescence,Cross-sectional,2018,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
93,17,Elferink-Gemser et al. (2018),0.16386551645439196,14.948496477325381,60,0.2586433062717698,0.0668963598791925,-0.3430660486806394,0.6707970815894233,30,30,Higher cognitive functions,General,General,Higher cognitive functions general,Adolescence,Cross-sectional,2018,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
94,17,Elferink-Gemser et al. (2018),0.8839031663683541,13.633295838020247,60,0.2708317466315542,0.07334983498349835,0.35308269710043094,1.4147236356362773,30,30,Higher cognitive functions,General,General,Higher cognitive functions general,Adolescence,Cross-sectional,2018,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
95,17,Elferink-Gemser et al. (2018),0.47079510132706837,14.58519833717852,60,0.26184472568405137,0.0685626603685561,-0.04241113055544232,0.984001333209579,30,30,Higher cognitive functions,General,General,Higher cognitive functions general,Adolescence,Cross-sectional,2018,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
96,17,Elferink-Gemser et al. (2018),1.0899735041153686,13.015873015873016,60,0.2771809306079387,0.07682926829268293,0.546708862922513,1.6332381453082243,30,30,Higher cognitive functions,General,General,Higher cognitive functions general,Adolescence,Cross-sectional,2018,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
97,17,Elferink-Gemser et al. (2018),0.05230342211845519,14.994736636905923,60,0.25824420148902494,0.0666900676027041,-0.4538459120163386,0.558452756253249,30,30,Higher cognitive functions,General,General,Higher cognitive functions general,Adolescence,Cross-sectional,2018,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
98,17,Elferink-Gemser et al. (2018),-0.35907871758625914,14.755877034358049,60,0.26032596459657503,0.06776960784313725,-0.8693082324361954,0.15115079726367703,30,30,Higher cognitive functions,General,General,Higher cognitive functions general,Adolescence,Cross-sectional,2018,Mean and Standard Deviation,Low risk,High risk,Low risk,Low risk,Unclear risk,Low risk
99,18,Estevan & Falco (2013),1.779450372077439,5.513967809498553,33,0.4258610169168633,0.18135760572946494,0.9447781165007845,2.6141226276540936,12,21,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
100,18,Estevan & Falco (2013),2.060425780881061,5.036963448015786,33,0.44556964914524516,0.1985323122394169,1.1871253159522328,2.9337262458098894,12,21,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
101,18,Estevan & Falco (2013),2.0856506987796997,4.9950762043592585,33,0.44743395710084427,0.20019714596692018,1.2086962574018054,2.962605140157594,12,21,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
102,18,Estevan & Falco (2013),3.24230140849346,3.3523687243759026,33,0.5461653070266288,0.2982965425994917,2.171837077116007,4.312765739870913,12,21,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
103,18,Estevan & Falco (2013),1.95985460754055,5.2057290829424625,33,0.438287635136459,0.19209605111350983,1.1008266278038588,2.8188825872772414,12,21,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
104,18,Estevan & Falco (2013),3.493526071099056,3.074709039071547,33,0.5702929301196527,0.32523402614445907,2.375772467426719,4.611279674771393,12,21,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
105,19,Falco et al. (2013),0.10795795950030065,11.982337441304876,49,0.28888781696867216,0.08345617079292503,-0.4582517573306958,0.674167676331297,21,28,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
106,19,Falco et al. (2013),0.09714791889738274,11.985693516154244,49,0.2888473688705423,0.08343280250343513,-0.46898252111803596,0.6632783589128014,21,28,Basic cognitive functions,General,Specific,Basic cognitive functions mixed,Adulthood,Cross-sectional,2013,Mean and Standard Deviation,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
