ID,SampleID,ArticleID,Reference, YearPub,PubStatus  (0=published; 1=unpublished),StudyDesign (1=correlational; 2=experiment),WorkSetting (0=student; 1=work),CMV/same-source effect (0=no CMV; 1=CMV),PM.Construct,PM.Measure,PM.Autonomy (1=discretionary; 2=obligatory; 3=unclear),PM.Generality (1=global; 2=contextual; 3=situational; 4=unclear),note.generality,Ipsative (0=normative measure; 1=ipsative measure),DV,DV.Dimension (wb=well-being; pb=prosocial behavior; perf=job performance; career=career success),WB.Generality (1=others; 2=situational),PB.Type (1=affliative; 2=challenging),DV.Objectivity (1=objective; 2=subjective),N,Pct.Female,Country,Individualism.con,Individualistic.bin (1=individualistic culture; 0=collectivist culture),ES_uncorrected,Rxx,Ryy,ES_corrected
135,62,48,"Takeuchi, R., Bolino, M. C., & Lin, C. C. (2015). Too many motives? The interactive effects of multiple motives on organizational citizenship behavior. Journal of Applied Psychology, 100(4), 1239.",2015,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBO,pb,,1,2,379,0.554,TW,17,0,0.38,0.93,0.8,0.440551951
136,63,49,"Choi, B. K., Moon, H. K., & Chun, J. U. (2015). Impression management motive and voice: Moderating effects of self_monitoring, self_efficacy, and voice instrumentality. Asian Journal of Social Psychology, 18(3), 225-235.",2015,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,voice,pb,,2,2,307,0.186,SK,18,0,0.37,0.84,0.92,0.420889574
137,64,50,"Lebel, R. D., & Patil, S. V. (2018). Proactivity despite discouraging supervisors: The powerful role of prosocial motivation. Journal of Applied Psychology, 103(7), 724.",2018,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,taking charge,pb,,2,2,142,0.49,US,91,1,0.17,0.94,0.91,0.183807953
138,65,50,"Lebel, R. D., & Patil, S. V. (2018). Proactivity despite discouraging supervisors: The powerful role of prosocial motivation. Journal of Applied Psychology, 103(7), 724.",2018,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,proactive task behavior,pb,,2,2,146,0.11,US,91,1,0.01,0.96,0.94,0.010526899
139,66,50,"Lebel, R. D., & Patil, S. V. (2018). Proactivity despite discouraging supervisors: The powerful role of prosocial motivation. Journal of Applied Psychology, 103(7), 724.",2018,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,voice,pb,,2,2,397,0.55,US,91,1,0.2,0.93,0.91,0.217404148
140,67,51,"Rofcanin, Y., de Jong, J. P., Las Heras, M., & Kim, S. (2018). The moderating role of prosocial motivation on the association between family-supportive supervisor behaviours and employee outcomes. Journal of Vocational Behavior, 107, 153-167.",2018,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,performance,perf,,,2,187,0.465,4 countries,,0,0.16,0.9,0.92,0.175834793
141,67,51,"Rofcanin, Y., de Jong, J. P., Las Heras, M., & Kim, S. (2018). The moderating role of prosocial motivation on the association between family-supportive supervisor behaviours and employee outcomes. Journal of Vocational Behavior, 107, 153-167.",2018,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,promotability,career,,,2,187,0.465,4 countries,,0,0.12,0.9,0.87,0.135612701
142,68,52,"Donia, M. B., Raja, U., Panaccio, A., & Wang, Z. (2016). Servant leadership and employee outcomes: The moderating role of subordinates’ motives. European Journal of Work and Organizational Psychology, 25(5), 722-734.",2016,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,job satisafaction,wb,2,,2,192,,Pakistan,14,0,0,0.87,0.7,0
143,68,52,"Donia, M. B., Raja, U., Panaccio, A., & Wang, Z. (2016). Servant leadership and employee outcomes: The moderating role of subordinates’ motives. European Journal of Work and Organizational Psychology, 25(5), 722-734.",2016,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBI,pb,,1,2,192,,Pakistan,14,0,-0.09,0.87,0.8,-0.107879243
144,68,52,"Donia, M. B., Raja, U., Panaccio, A., & Wang, Z. (2016). Servant leadership and employee outcomes: The moderating role of subordinates’ motives. European Journal of Work and Organizational Psychology, 25(5), 722-734.",2016,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBO,pb,,1,2,192,,Pakistan,14,0,0.17,0.87,0.73,0.213318178
145,69,53,"Chen, H. C., Lee, A. Y. P., Chen, I. H., & Wu, H. L. (2016). The meaningfulness of managerial work: case of Taiwanese employees. Chinese Management Studies, 10(1), 138-154.",2016,0,1,1,1,prosocial motivation,Grant & Sumanth (2009),1,2,,0,work meaningfulness,wb,2,,2,451,,TW,17,0,0.67,0.97,0.94,0.701657237
146,70,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,conscientiousness,pb,,1,2,129,0.37,US,91,1,0.02,0.93,0.91,0.021740415
147,70,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,sportsmanship,pb,,1,2,129,0.37,US,91,1,0.16,0.93,0.93,0.172043011
148,70,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,civil virtue,pb,,1,2,129,0.37,US,91,1,0.22,0.93,0.89,0.241816652
149,70,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,courtesy,pb,,1,2,129,0.37,US,91,1,0.19,0.93,0.95,0.202139098
150,70,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,altruism,pb,,1,2,129,0.37,US,91,1,0.2,0.93,0.93,0.215053763
151,71,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,conscientiousness,pb,,1,2,436,0.43,US,91,1,0.41,0.91,0.79,0.48355916
152,71,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,sportsmanship,pb,,1,2,436,0.43,US,91,1,0.46,0.91,0.82,0.532512994
153,71,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,civil virtue,pb,,1,2,436,0.43,US,91,1,0.46,0.91,0.83,0.529295363
154,71,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,courtesy,pb,,1,2,436,0.43,US,91,1,0.57,0.91,0.87,0.640611209
155,71,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,altruism,pb,,1,2,436,0.43,US,91,1,0.64,0.91,0.92,0.699463995
156,71,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,job performance,perf,,,2,424,0.43,US,91,1,0.49,0.91,0.92,0.535527121
157,71,54,"Klotz, A. C., Bolino, M. C., Song, H., & Stornelli, J. (2018). Examining the nature, causes, and consequences of profiles of organizational citizenship behavior. Journal of Organizational Behavior, 39(5), 629-647.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,citizenship fatigue,wb,2,,2,424,0.43,US,91,1,0.12,0.91,0.96,0.128388148
158,72,55,"Huang, Y. K., McDowell, J., & Vargas, P. (2015). How Old I Feel Matters: Examining Age-Related Differences in Motives and Organizational Citizenship Behavior. Journal of Park & Recreation Administration, 33(1).",2015,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,altruism,pb,,1,2,627,0.522,US,91,1,0.44,0.88,0.72,0.552770798
159,72,55,"Huang, Y. K., McDowell, J., & Vargas, P. (2015). How Old I Feel Matters: Examining Age-Related Differences in Motives and Organizational Citizenship Behavior. Journal of Park & Recreation Administration, 33(1).",2015,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,conscientiousness,pb,,1,2,627,0.522,US,91,1,0.25,0.88,0.71,0.316278375
160,72,55,"Huang, Y. K., McDowell, J., & Vargas, P. (2015). How Old I Feel Matters: Examining Age-Related Differences in Motives and Organizational Citizenship Behavior. Journal of Park & Recreation Administration, 33(1).",2015,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,sportsmanship,pb,,1,2,627,0.522,US,91,1,0.28,0.88,0.73,0.34934559
161,72,55,"Huang, Y. K., McDowell, J., & Vargas, P. (2015). How Old I Feel Matters: Examining Age-Related Differences in Motives and Organizational Citizenship Behavior. Journal of Park & Recreation Administration, 33(1).",2015,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,courtesy,pb,,1,2,627,0.522,US,91,1,0.44,0.88,0.61,0.600546199
162,72,55,"Huang, Y. K., McDowell, J., & Vargas, P. (2015). How Old I Feel Matters: Examining Age-Related Differences in Motives and Organizational Citizenship Behavior. Journal of Park & Recreation Administration, 33(1).",2015,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,civil virtue,pb,,1,2,627,0.522,US,91,1,0.42,0.88,0.79,0.503726048
163,73,56,"Jain, A. K. (2016). Volunteerism, affective commitment and citizenship behavior: An empirical study in India. Journal of Managerial Psychology, 31(3), 657-671.",2016,0,1,1,0,altruistic motives,"Omoto and Snyder’s (1995) motives for volunteerism (empathy, values, and community concern dimensions)",1,3,,0,affective commitment,wb,2,,2,248,0,India,48,0,0.04,0.71,0.71,0.056338028
164,73,56,"Jain, A. K. (2016). Volunteerism, affective commitment and citizenship behavior: An empirical study in India. Journal of Managerial Psychology, 31(3), 657-671.",2016,0,1,1,0,altruistic motives,"Omoto and Snyder’s (1995) motives for volunteerism (empathy, values, and community concern dimensions)",1,3,,0,OCBI,pb,,1,2,248,0,India,48,0,0.14,0.71,0.87,0.178130889
165,73,56,"Jain, A. K. (2016). Volunteerism, affective commitment and citizenship behavior: An empirical study in India. Journal of Managerial Psychology, 31(3), 657-671.",2016,0,1,1,0,altruistic motives,"Omoto and Snyder’s (1995) motives for volunteerism (empathy, values, and community concern dimensions)",1,3,,0,OCBO,pb,,1,2,248,0,India,48,0,-0.03,0.71,0.74,-0.04138817
166,74,57,"Dill, J., Erickson, R. J., & Diefendorff, J. M. (2016). Motivation in caring labor: Implications for the well-being and employment outcomes of nurses. Social Science & Medicine, 167, 99-106.",2016,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,intent to leave,wb,2,,2,730,0.92,US,91,1,0.09,0.87,0.83,0.105911675
167,74,57,"Dill, J., Erickson, R. J., & Diefendorff, J. M. (2016). Motivation in caring labor: Implications for the well-being and employment outcomes of nurses. Social Science & Medicine, 167, 99-106.",2016,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,burnout,wb,2,,2,730,0.92,US,91,1,0.1,0.87,0.93,0.111172891
168,75,58,"Potipiroon, W., & Ford, M. T. (2017). Does Public Service Motivation Always Lead to Organizational Commitment? Examining the Moderating Roles of Intrinsic Motivation and Ethical Leadership. Public Personnel Management, 46(3), 211-238.",2017,0,1,1,1,public service motivation,Perry (1996),3,1,,0,affective commitment,wb,2,,2,196,0.6,Thailand,20,0,0.18,0.78,0.9,0.214834462
169,75,58,"Potipiroon, W., & Ford, M. T. (2017). Does Public Service Motivation Always Lead to Organizational Commitment? Examining the Moderating Roles of Intrinsic Motivation and Ethical Leadership. Public Personnel Management, 46(3), 211-238.",2017,0,1,1,1,public service motivation,Perry (1996),3,1,,0,job satisafaction,wb,2,,2,196,0.6,Thailand,20,0,0.12,0.78,0.8,0.151910905
170,76,59,"Sekar, S., & Dyaram, L. (2017). What drives employees to participate in corporate volunteering programs?. Social Responsibility Journal, 13(4), 661-677.",2017,0,1,1,1,motive to volunteer_other-oriented motives,Volunteer Function Inventory (VFI) ,1,3,,0,volunteerism,pb,,1,2,454,0.4,India,48,0,0.43,0.7,0.83,0.56413155
171,77,60,"Donia, M. B., Johns, G., Raja, U., & Khalil Ben Ayed, A. (2018). Getting credit for OCBs: potential costs of being a good actor vs. a good soldier. European Journal of Work and Organizational Psychology, 27(2), 188-203.",2018,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,affective commitment,wb,2,,2,197,0.19,Pakistan,14,0,0.33,0.84,0.78,0.407687124
172,77,60,"Donia, M. B., Johns, G., Raja, U., & Khalil Ben Ayed, A. (2018). Getting credit for OCBs: potential costs of being a good actor vs. a good soldier. European Journal of Work and Organizational Psychology, 27(2), 188-203.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBO,pb,,1,2,197,0.19,Pakistan,14,0,0.32,0.84,0.7,0.417312425
173,77,60,"Donia, M. B., Johns, G., Raja, U., & Khalil Ben Ayed, A. (2018). Getting credit for OCBs: potential costs of being a good actor vs. a good soldier. European Journal of Work and Organizational Psychology, 27(2), 188-203.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,job performance,perf,,,2,197,0.19,Pakistan,14,0,0.23,0.84,0.9,0.264525131
174,77,60,"Donia, M. B., Johns, G., Raja, U., & Khalil Ben Ayed, A. (2018). Getting credit for OCBs: potential costs of being a good actor vs. a good soldier. European Journal of Work and Organizational Psychology, 27(2), 188-203.",2018,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,reward recommendations,career,,,2,197,0.19,Pakistan,14,0,0.18,0.84,0.81,0.21821789
175,78,61,"Guillén, L., Mayo, M., & Karelaia, N. (2018). Appearing self_confident and getting credit for it: Why it may be easier for men than women to gain influence at work. Human Resource Management, 57(4), 839-854.",2018,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,job performance,perf,,,2,236,0.23,unidentified country,,,0.01,0.87,0.93,0.011117289
176,79,62,"Lanaj, K., Johnson, R. E., & Wang, M. (2016). When lending a hand depletes the will: The daily costs and benefits of helping. Journal of Applied Psychology, 101(8), 1097.",2016,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,morning positive affectivity,wb,2,,2,68,0.32,US,91,1,0.39,0.86,0.94,0.433761952
177,79,62,"Lanaj, K., Johnson, R. E., & Wang, M. (2016). When lending a hand depletes the will: The daily costs and benefits of helping. Journal of Applied Psychology, 101(8), 1097.",2016,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,morning depletion,wb,2,,2,68,0.32,US,91,1,0.17,0.86,0.94,0.189075723
178,79,62,"Lanaj, K., Johnson, R. E., & Wang, M. (2016). When lending a hand depletes the will: The daily costs and benefits of helping. Journal of Applied Psychology, 101(8), 1097.",2016,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,afternoon depletion,wb,2,,2,68,0.32,US,91,1,0.26,0.86,0.9,0.29553088
179,79,62,"Lanaj, K., Johnson, R. E., & Wang, M. (2016). When lending a hand depletes the will: The daily costs and benefits of helping. Journal of Applied Psychology, 101(8), 1097.",2016,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,helping,pb,,1,2,68,0.32,US,91,1,0.11,0.86,0.86,0.127906977
180,80,63,"Lebel, R. D. (2016). Overcoming the fear factor: How perceptions of supervisor openness lead employees to speak up when fearing external threat. Organizational Behavior and Human Decision Processes, 135, 10-21.",2016,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,voice,pb,,2,2,391,0.28,US,91,1,0.15,0.95,0.9,0.162221421
181,81,64,"Saether, E. A., & Sætre, A. S. (2017). The impact of individual motivations on idea submission and future motivation to participate in an organization's virtual idea campaign. Creativity and Innovation Management, 26(4), 379-390.",2017,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,creativity_idea submission,perf,,,1,108,,Europe,,1,0.087,0.82,1,0.096075428
182,82,65,"Choi, B. K., & Moon, H. K. (2017). Subordinates’ helping, voice, and supervisors’ evaluation of job performance: the moderating effects of supervisor-attributed motives. Career Development International, 22(3), 222-240.",2017,0,1,1,1,prosocial values_other attributed,Rioux and Penner’s (2001),1,3,,0,task performance,perf,,,2,200,,SK,18,0,0.39,0.94,0.9,0.424013247
183,82,65,"Choi, B. K., & Moon, H. K. (2017). Subordinates’ helping, voice, and supervisors’ evaluation of job performance: the moderating effects of supervisor-attributed motives. Career Development International, 22(3), 222-240.",2017,0,1,1,1,prosocial values_other attributed,Rioux and Penner’s (2001),1,3,,0,helping,pb,,1,2,200,,SK,18,0,0.29,0.94,0.81,0.332346846
184,82,65,"Choi, B. K., & Moon, H. K. (2017). Subordinates’ helping, voice, and supervisors’ evaluation of job performance: the moderating effects of supervisor-attributed motives. Career Development International, 22(3), 222-240.",2017,0,1,1,1,prosocial values_other attributed,Rioux and Penner’s (2001),1,3,,0,voice,pb,,2,2,200,,SK,18,0,0.21,0.94,0.93,0.224602142
185,82,65,"Choi, B. K., & Moon, H. K. (2017). Subordinates’ helping, voice, and supervisors’ evaluation of job performance: the moderating effects of supervisor-attributed motives. Career Development International, 22(3), 222-240.",2017,0,1,1,1,prosocial values_other attributed,Rioux and Penner’s (2001),1,3,,0,job performance,perf,,,2,200,,SK,18,0,0.24,0.94,0.96,0.252645576
186,83,66,"Vogel, R., Homberg, F., & Gericke, A. (2016, December). Abusive supervision, public service motivation, and employee deviance: the moderating role of employment sector. In Evidence-Based HRM: A Global Forum for Empirical Scholarship (Vol. 4, No. 3, pp. 214-231). Emerald Group Publishing Limited.",2016,0,1,1,1,public service motivation, Wright et al. (2012) + Giauque et al. (2011),1,2,,0,job satisafaction,wb,2,,2,150,0.43,Germany and US,,1,0.04,0.73,0.64,0.058520574
187,84,67,"Wah, C. Y., Menkhoff, T., Loh, B., & Evers, H. D. (2007). Social capital and knowledge sharing in knowledge-based organizations: An empirical study. International Journal of Knowledge Management (IJKM), 3(1), 29-48.",2007,0,1,1,1,prosocial values,Rioux and Penner’s (2001),1,3,,0,knowlwedge sharing,pb,,1,2,169,0.54,Singapore,20,0,0.41,0.95,0.93,0.436194896
188,85,68,"Brown, T. J., Mowen, J. C., Donavan, D. T., & Licata, J. W. (2002). The customer orientation of service workers: Personality trait effects on self-and supervisor performance ratings. Journal of marketing research, 39(1), 110-119.",2002,0,1,1,1,customer orientation_enjoyment,"Brown, Mowen, Donavan, & Licata (2002). ",1,3,,0,performance_self1,perf,,,2,249,0.63,US,91,1,0.35,0.88,0.717,0.440622967
189,85,68,"Brown, T. J., Mowen, J. C., Donavan, D. T., & Licata, J. W. (2002). The customer orientation of service workers: Personality trait effects on self-and supervisor performance ratings. Journal of marketing research, 39(1), 110-119.",2002,0,1,1,1,customer orientation_enjoyment,"Brown, Mowen, Donavan, & Licata (2002). ",1,3,,0,performance_self2,perf,,,2,249,0.63,US,91,1,0.38,0.88,0.717,0.47839065
190,85,68,"Brown, T. J., Mowen, J. C., Donavan, D. T., & Licata, J. W. (2002). The customer orientation of service workers: Personality trait effects on self-and supervisor performance ratings. Journal of marketing research, 39(1), 110-119.",2002,0,1,1,0,customer orientation_enjoyment,"Brown, Mowen, Donavan, & Licata (2002). ",1,3,,0,performance_manager1,perf,,,2,249,0.63,US,91,1,0.08,0.88,0.717,0.100713821
191,85,68,"Brown, T. J., Mowen, J. C., Donavan, D. T., & Licata, J. W. (2002). The customer orientation of service workers: Personality trait effects on self-and supervisor performance ratings. Journal of marketing research, 39(1), 110-119.",2002,0,1,1,0,customer orientation_enjoyment,"Brown, Mowen, Donavan, & Licata (2002). ",1,3,,0,performance_manager2,perf,,,2,249,0.63,US,91,1,0.09,0.88,0.717,0.113303049
192,86,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,task performance,perf,,,2,5,0.91,US,91,1,-0.67,0.82,0.48,-0.999
193,86,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,innnovative performance,perf,,,2,5,0.91,US,91,1,0.13,0.82,0.91,0.150492803
194,86,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,OCBI,pb,,1,2,5,0.91,US,91,1,0.19,0.82,0.83,0.23030726
195,86,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,OCBO,pb,,1,2,5,0.91,US,91,1,0.49,0.82,0.32,0.956564292
196,87,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,task performance,perf,,,2,56,0.82,US,91,1,0.01,0.81,0.91,0.011647609
197,87,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,innnovative performance,perf,,,2,56,0.82,US,91,1,0.2,0.81,0.94,0.229204721
198,87,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,OCBI,pb,,1,2,56,0.82,US,91,1,0.01,0.81,0.85,0.012051692
199,87,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,OCBO,pb,,1,2,56,0.82,US,91,1,0.06,0.81,0.6,0.086066297
200,88,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,task performance,perf,,,2,36,0.53,US,91,1,0.15,0.84,0.75,0.188982237
201,88,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,innnovative performance,perf,,,2,36,0.53,US,91,1,0.37,0.84,0.89,0.427924427
202,88,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,OCBI,pb,,1,2,36,0.53,US,91,1,0.17,0.84,0.51,0.259731241
203,88,69,"Bentley, J. R. (2014). Expanding the will at work: The effects of transformational leadership and workplace deviance on follower work self-expansion, work self-regulatory strength, and job performance. State University of New York at Buffalo.",2014,1,1,1,0,prosocial motivation,Grant (2008),1,2,,0,OCBO,pb,,1,2,36,0.53,US,91,1,0.17,0.84,0.7,0.221697226
204,89,70,"Bourdage, J. (2008). Good citizens versus good actors: exploring the motivational pathways of organizational citizenship behavior.",2008,1,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBO_peer,pb,,1,2,98,0.76,Canada,80,1,0.09,0.73,0.86,0.113587843
205,89,70,"Bourdage, J. (2008). Good citizens versus good actors: exploring the motivational pathways of organizational citizenship behavior.",2008,1,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBI_peer,pb,,1,2,98,0.76,Canada,80,1,0.03,0.73,0.9,0.037011661
206,89,70,"Bourdage, J. (2008). Good citizens versus good actors: exploring the motivational pathways of organizational citizenship behavior.",2008,1,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBI_supervisor,pb,,1,2,72,0.76,Canada,80,1,0.16,0.73,0.93,0.194185626
207,89,70,"Bourdage, J. (2008). Good citizens versus good actors: exploring the motivational pathways of organizational citizenship behavior.",2008,1,1,1,0,prosocial values,Rioux and Penner’s (2001),1,3,,0,OCBO_supervisor,pb,,1,2,72,0.76,Canada,80,1,0.14,0.73,0.92,0.170833364
208,90,71,"Boyd, T. N. (2010). The surprising impact of purpose: The effect of calling on the relationship between job demands and burnout. Seattle Pacific University.",2010,1,1,1,1,prosocial orientation,Dik & Duffy (2009),1,2,,0,emotional exhaustion,wb,2,,2,204,0.62,US,91,1,0.16,0.85,0.78,0.1965003
209,90,71,"Boyd, T. N. (2010). The surprising impact of purpose: The effect of calling on the relationship between job demands and burnout. Seattle Pacific University.",2010,1,1,1,1,prosocial orientation,Dik & Duffy (2009),1,2,,0,disengagement,wb,2,,2,204,0.62,US,91,1,0.47,0.85,0.79,0.573554709
210,91,72,"Chandler, C. W. (2004). Understanding organizational citizenship behaviors: Do motives make a difference?.",2004,1,1,1,0,altruistic motives,Ford & Nichols (2002),2,1,,0,OCB_total,pb,,1,2,135,0.843,US,91,1,0.14,0.68,0.96,0.17327582
211,91,72,"Chandler, C. W. (2004). Understanding organizational citizenship behaviors: Do motives make a difference?.",2004,1,1,1,0,altruistic motives,Ford & Nichols (2002),2,1,,0,OCB_total,pb,,1,2,126,0.843,US,91,1,0.01,0.68,0.95,0.012441815
212,92,73,Chang (2013) HOW AND WHY EMPLOYEES ENGAGE IN CORPORATE VOLUNTEERING,2013,1,1,1,1,obligatory prosocial motivation,Gebauer et al (2008).,2,1,,0,corporate volunteering_money,pb,,1,1,347,0.24,SK,18,0,0.14,0.93,1,0.145173237
213,92,73,Chang (2013) HOW AND WHY EMPLOYEES ENGAGE IN CORPORATE VOLUNTEERING,2013,1,1,1,1,obligatory prosocial motivation,Gebauer et al (2008).,2,1,,0,corporate volunteering_time,pb,,1,1,347,0.24,SK,18,0,0.15,0.93,1,0.155542754
214,92,73,Chang (2013) HOW AND WHY EMPLOYEES ENGAGE IN CORPORATE VOLUNTEERING,2013,1,1,1,1,obligatory prosocial motivation,Gebauer et al (2008).,2,1,,0,corporate volunteering_suggestion,pb,,1,1,347,0.24,SK,18,0,0.19,0.93,1,0.197020822
